id,path,label
EJIOWRZU,./train/EJIOWRZU.ogg,fake
OBWMEEGA,./train/OBWMEEGA.ogg,real
QTIQFWVK,./train/QTIQFWVK.ogg,real
EWVGCBKF,./train/EWVGCBKF.ogg,fake
ZMDIZHZZ,./train/ZMDIZHZZ.ogg,real
MBMTQGLU,./train/MBMTQGLU.ogg,fake
NAYAEDMT,./train/NAYAEDMT.ogg,fake
JENVECGN,./train/JENVECGN.ogg,real
MITQNSXC,./train/MITQNSXC.ogg,real
OMTTAJFP,./train/OMTTAJFP.ogg,fake
JSJOGAKI,./train/JSJOGAKI.ogg,fake
CDPDFMIJ,./train/CDPDFMIJ.ogg,real
XHWXHIHM,./train/XHWXHIHM.ogg,fake
PWJUGBGE,./train/PWJUGBGE.ogg,fake
SUMEEJOS,./train/SUMEEJOS.ogg,fake
LEIINRDM,./train/LEIINRDM.ogg,real
TWREPTOK,./train/TWREPTOK.ogg,fake
RVGODDTS,./train/RVGODDTS.ogg,real
ROFPOZAG,./train/ROFPOZAG.ogg,fake
BCMNWFSD,./train/BCMNWFSD.ogg,fake
QZDFRRJT,./train/QZDFRRJT.ogg,real
NCIGTCJJ,./train/NCIGTCJJ.ogg,real
GVJIUDEX,./train/GVJIUDEX.ogg,real
KWZVKRCT,./train/KWZVKRCT.ogg,real
OOCKPDWZ,./train/OOCKPDWZ.ogg,real
HUXPDRGM,./train/HUXPDRGM.ogg,fake
LWMETHPY,./train/LWMETHPY.ogg,fake
AMBFMLQL,./train/AMBFMLQL.ogg,fake
SBANGYGW,./train/SBANGYGW.ogg,real
UXQCOSRQ,./train/UXQCOSRQ.ogg,real
YTNNGHLM,./train/YTNNGHLM.ogg,real
ENIIYSNS,./train/ENIIYSNS.ogg,fake
WLFHKDBE,./train/WLFHKDBE.ogg,real
STFGBGEN,./train/STFGBGEN.ogg,real
HUYWWPBJ,./train/HUYWWPBJ.ogg,fake
ZFKHZPKV,./train/ZFKHZPKV.ogg,real
KMMWXPQJ,./train/KMMWXPQJ.ogg,fake
FAGKNKOJ,./train/FAGKNKOJ.ogg,fake
UHJUHUJH,./train/UHJUHUJH.ogg,real
HREGZIKQ,./train/HREGZIKQ.ogg,real
QQQWXYFZ,./train/QQQWXYFZ.ogg,fake
OJBGDXOW,./train/OJBGDXOW.ogg,real
QPKTTOWA,./train/QPKTTOWA.ogg,fake
FRSLJNZS,./train/FRSLJNZS.ogg,fake
OTSFIAWZ,./train/OTSFIAWZ.ogg,fake
QCYMFKAB,./train/QCYMFKAB.ogg,real
RCYZGEDM,./train/RCYZGEDM.ogg,real
YRFQWZIW,./train/YRFQWZIW.ogg,real
OVWEDWUN,./train/OVWEDWUN.ogg,fake
ENNFPSDD,./train/ENNFPSDD.ogg,fake
MFLUDHAV,./train/MFLUDHAV.ogg,fake
ZBQHKNSI,./train/ZBQHKNSI.ogg,fake
WXTMORSM,./train/WXTMORSM.ogg,real
MRWLDUSA,./train/MRWLDUSA.ogg,fake
TEGBDLYF,./train/TEGBDLYF.ogg,real
NARWTYDT,./train/NARWTYDT.ogg,real
GTYRDCUX,./train/GTYRDCUX.ogg,fake
IKEBPRZN,./train/IKEBPRZN.ogg,real
KROSPPRS,./train/KROSPPRS.ogg,fake
LDQBEDFM,./train/LDQBEDFM.ogg,fake
IBJHRHSL,./train/IBJHRHSL.ogg,real
WQKWPVCU,./train/WQKWPVCU.ogg,real
KXYLTHUM,./train/KXYLTHUM.ogg,fake
SWTAIGVA,./train/SWTAIGVA.ogg,fake
ZIRYNWKZ,./train/ZIRYNWKZ.ogg,real
UIMXZFLI,./train/UIMXZFLI.ogg,fake
APFCJTJG,./train/APFCJTJG.ogg,fake
LARZWVHP,./train/LARZWVHP.ogg,real
IENYIEGZ,./train/IENYIEGZ.ogg,real
VVEXBYJL,./train/VVEXBYJL.ogg,real
IFKCYAOX,./train/IFKCYAOX.ogg,real
SEIMQCVU,./train/SEIMQCVU.ogg,real
NXOGGTNK,./train/NXOGGTNK.ogg,fake
