id,path,label
EJIOWRZU,./train/EJIOWRZU.ogg,fake
EWVGCBKF,./train/EWVGCBKF.ogg,fake
MBMTQGLU,./train/MBMTQGLU.ogg,fake
NAYAEDMT,./train/NAYAEDMT.ogg,fake
OMTTAJFP,./train/OMTTAJFP.ogg,fake
JSJOGAKI,./train/JSJOGAKI.ogg,fake
XHWXHIHM,./train/XHWXHIHM.ogg,fake
PWJUGBGE,./train/PWJUGBGE.ogg,fake
SUMEEJOS,./train/SUMEEJOS.ogg,fake
TWREPTOK,./train/TWREPTOK.ogg,fake
ROFPOZAG,./train/ROFPOZAG.ogg,fake
BCMNWFSD,./train/BCMNWFSD.ogg,fake
HUXPDRGM,./train/HUXPDRGM.ogg,fake
LWMETHPY,./train/LWMETHPY.ogg,fake
AMBFMLQL,./train/AMBFMLQL.ogg,fake
ENIIYSNS,./train/ENIIYSNS.ogg,fake
HUYWWPBJ,./train/HUYWWPBJ.ogg,fake
KMMWXPQJ,./train/KMMWXPQJ.ogg,fake
FAGKNKOJ,./train/FAGKNKOJ.ogg,fake
QQQWXYFZ,./train/QQQWXYFZ.ogg,fake
QPKTTOWA,./train/QPKTTOWA.ogg,fake
FRSLJNZS,./train/FRSLJNZS.ogg,fake
OTSFIAWZ,./train/OTSFIAWZ.ogg,fake
OVWEDWUN,./train/OVWEDWUN.ogg,fake
ENNFPSDD,./train/ENNFPSDD.ogg,fake
MFLUDHAV,./train/MFLUDHAV.ogg,fake
ZBQHKNSI,./train/ZBQHKNSI.ogg,fake
MRWLDUSA,./train/MRWLDUSA.ogg,fake
GTYRDCUX,./train/GTYRDCUX.ogg,fake
KROSPPRS,./train/KROSPPRS.ogg,fake
LDQBEDFM,./train/LDQBEDFM.ogg,fake
KXYLTHUM,./train/KXYLTHUM.ogg,fake
SWTAIGVA,./train/SWTAIGVA.ogg,fake
UIMXZFLI,./train/UIMXZFLI.ogg,fake
APFCJTJG,./train/APFCJTJG.ogg,fake
NXOGGTNK,./train/NXOGGTNK.ogg,fake
HZXBTRLF,./train/HZXBTRLF.ogg,fake
HJXCWXOA,./train/HJXCWXOA.ogg,fake
TSJIHVCJ,./train/TSJIHVCJ.ogg,fake
AHTGUDEZ,./train/AHTGUDEZ.ogg,fake
DBYBBUZF,./train/DBYBBUZF.ogg,fake
XNBREDEB,./train/XNBREDEB.ogg,fake
KYXGPFHD,./train/KYXGPFHD.ogg,fake
GSCNRZAL,./train/GSCNRZAL.ogg,fake
QCELUKNM,./train/QCELUKNM.ogg,fake
BJXAQYQR,./train/BJXAQYQR.ogg,fake
IUAPXHOP,./train/IUAPXHOP.ogg,fake
DTIMGFSS,./train/DTIMGFSS.ogg,fake
YHGCOPGR,./train/YHGCOPGR.ogg,fake
UAUZVLZV,./train/UAUZVLZV.ogg,fake
TRCCQTKJ,./train/TRCCQTKJ.ogg,fake
FFPGFDFO,./train/FFPGFDFO.ogg,fake
BTBNCLAH,./train/BTBNCLAH.ogg,fake
JPQUAXZI,./train/JPQUAXZI.ogg,fake
YSEWXUPI,./train/YSEWXUPI.ogg,fake
JPYSDOVP,./train/JPYSDOVP.ogg,fake
HLMLDNTA,./train/HLMLDNTA.ogg,fake
QLYGIALV,./train/QLYGIALV.ogg,fake
ZNEYDOZD,./train/ZNEYDOZD.ogg,fake
VTFWSQDD,./train/VTFWSQDD.ogg,fake
HFCDSGNZ,./train/HFCDSGNZ.ogg,fake
XUACKNSJ,./train/XUACKNSJ.ogg,fake
UAACQZXP,./train/UAACQZXP.ogg,fake
LNKTCOEJ,./train/LNKTCOEJ.ogg,fake
HHFYRLFC,./train/HHFYRLFC.ogg,fake
YXOSVNRB,./train/YXOSVNRB.ogg,fake
RPUKJMOG,./train/RPUKJMOG.ogg,fake
MEHAKAEK,./train/MEHAKAEK.ogg,fake
LUKHIAMO,./train/LUKHIAMO.ogg,fake
IMVETUEW,./train/IMVETUEW.ogg,fake
ZWHLYLIH,./train/ZWHLYLIH.ogg,fake
YKMJEQVN,./train/YKMJEQVN.ogg,fake
XVSXZSPW,./train/XVSXZSPW.ogg,fake
JSKFJRQH,./train/JSKFJRQH.ogg,fake
VQNOFTQO,./train/VQNOFTQO.ogg,fake
YQYFBBYU,./train/YQYFBBYU.ogg,fake
OTCOQOOP,./train/OTCOQOOP.ogg,fake
DPDLDBRS,./train/DPDLDBRS.ogg,fake
CCGWCIPA,./train/CCGWCIPA.ogg,fake
HVGNLXID,./train/HVGNLXID.ogg,fake
XUZISQNF,./train/XUZISQNF.ogg,fake
XSDCQCRN,./train/XSDCQCRN.ogg,fake
VWFGIUQB,./train/VWFGIUQB.ogg,fake
NNPSWYFK,./train/NNPSWYFK.ogg,fake
EASJFKHR,./train/EASJFKHR.ogg,fake
TYUXDOPC,./train/TYUXDOPC.ogg,fake
IVSAMEUB,./train/IVSAMEUB.ogg,fake
GWKCRVPD,./train/GWKCRVPD.ogg,fake
CMKTQMYX,./train/CMKTQMYX.ogg,fake
JRGXVCNG,./train/JRGXVCNG.ogg,fake
YVEXBYDO,./train/YVEXBYDO.ogg,fake
PBPJVVQX,./train/PBPJVVQX.ogg,fake
VCKADSEK,./train/VCKADSEK.ogg,fake
JGFCCUOS,./train/JGFCCUOS.ogg,fake
CUPOVIDM,./train/CUPOVIDM.ogg,fake
DZAENLIL,./train/DZAENLIL.ogg,fake
EXYQMREX,./train/EXYQMREX.ogg,fake
HUDDZEBM,./train/HUDDZEBM.ogg,fake
XRGRGSXY,./train/XRGRGSXY.ogg,fake
KLBQNXFS,./train/KLBQNXFS.ogg,fake
LEOMWSQQ,./train/LEOMWSQQ.ogg,fake
YZEHVTKQ,./train/YZEHVTKQ.ogg,fake
RQXCBOAC,./train/RQXCBOAC.ogg,fake
CXTSGDHC,./train/CXTSGDHC.ogg,fake
CCAZOOIR,./train/CCAZOOIR.ogg,fake
ZUYIQXEO,./train/ZUYIQXEO.ogg,fake
GKBBPNQU,./train/GKBBPNQU.ogg,fake
CYBXUCES,./train/CYBXUCES.ogg,fake
PIOJWQUH,./train/PIOJWQUH.ogg,fake
SKBPERWD,./train/SKBPERWD.ogg,fake
RVAWIOSC,./train/RVAWIOSC.ogg,fake
LBTHDJSJ,./train/LBTHDJSJ.ogg,fake
WXAXHYHR,./train/WXAXHYHR.ogg,fake
CGXZYSIX,./train/CGXZYSIX.ogg,fake
